epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.7388,0.92856,7.33119,1.13522,0.53239,0.29315,0.33631,0.2767,0.77897,1.81149,0.98277,5.43162e-05,5.43162e-05,5.43162e-05
2,127.028,0.78401,2.54494,1.03623,0.73095,0.57478,0.66746,0.54623,0.75497,1.01055,0.96216,0.000107634,0.000107634,0.000107634
3,165.696,0.73677,1.54191,0.99521,0.75648,0.67472,0.74629,0.61029,0.73588,0.81495,0.96365,0.000159599,0.000159599,0.000159599
4,204.362,0.72227,1.14415,0.98731,0.82182,0.72814,0.81893,0.67003,0.73335,0.75976,0.94852,0.000157912,0.000157912,0.000157912
5,242.906,0.71315,0.97874,0.98292,0.77877,0.808,0.85167,0.69646,0.6991,0.64277,0.93992,0.000155882,0.000155882,0.000155882
6,281.373,0.68764,0.86042,0.97165,0.82253,0.79096,0.84886,0.68877,0.71991,0.6328,0.95635,0.000153853,0.000153853,0.000153853
7,319.896,0.68523,0.79823,0.96928,0.86716,0.80828,0.88326,0.72669,0.68173,0.56949,0.92756,0.000151823,0.000151823,0.000151823
8,358.515,0.65439,0.70405,0.95911,0.8303,0.82487,0.88458,0.72704,0.67561,0.55502,0.92569,0.000149793,0.000149793,0.000149793
9,397.25,0.64644,0.67977,0.95421,0.87064,0.82278,0.89322,0.74211,0.67613,0.53407,0.91493,0.000147764,0.000147764,0.000147764
10,435.834,0.64099,0.65001,0.95103,0.85653,0.84861,0.89713,0.73939,0.67859,0.55523,0.91641,0.000145734,0.000145734,0.000145734
11,474.375,0.62573,0.63872,0.94511,0.88313,0.83185,0.91401,0.74758,0.66954,0.49826,0.91836,0.000143705,0.000143705,0.000143705
12,512.986,0.62717,0.61164,0.94834,0.87898,0.89476,0.92561,0.76132,0.67002,0.47451,0.89967,0.000141676,0.000141676,0.000141676
13,551.525,0.62441,0.59644,0.9404,0.83231,0.89731,0.90141,0.73788,0.66894,0.51205,0.91006,0.000139646,0.000139646,0.000139646
14,590.057,0.60898,0.57716,0.93528,0.82177,0.88277,0.90151,0.7451,0.65223,0.49405,0.90453,0.000137616,0.000137616,0.000137616
15,628.587,0.60222,0.56669,0.93252,0.87099,0.86832,0.91616,0.7585,0.65456,0.46453,0.90612,0.000135587,0.000135587,0.000135587
16,667.071,0.5935,0.54874,0.93245,0.87515,0.87563,0.92385,0.76174,0.64512,0.46331,0.90193,0.000133558,0.000133558,0.000133558
17,705.853,0.59208,0.54231,0.92861,0.85896,0.89445,0.91422,0.75699,0.63835,0.47184,0.8985,0.000131528,0.000131528,0.000131528
18,744.339,0.57823,0.52019,0.92143,0.88985,0.88189,0.92115,0.7617,0.63676,0.45042,0.88976,0.000129499,0.000129499,0.000129499
19,782.919,0.57652,0.52551,0.9285,0.87741,0.87319,0.91894,0.76884,0.62926,0.44976,0.88811,0.000127469,0.000127469,0.000127469
20,821.547,0.5789,0.51769,0.9248,0.88459,0.90677,0.93158,0.77421,0.63586,0.43593,0.8905,0.000125439,0.000125439,0.000125439
21,860.236,0.5705,0.49117,0.9164,0.90343,0.87795,0.91974,0.77193,0.64168,0.445,0.89253,0.00012341,0.00012341,0.00012341
22,898.759,0.56667,0.49255,0.92015,0.88669,0.8826,0.93656,0.77204,0.63791,0.43133,0.89251,0.000121381,0.000121381,0.000121381
23,937.322,0.55765,0.48242,0.91148,0.9023,0.8849,0.92509,0.77414,0.64387,0.41131,0.89852,0.000119351,0.000119351,0.000119351
24,975.927,0.54857,0.46417,0.90998,0.90323,0.88956,0.93063,0.78675,0.63156,0.4174,0.88051,0.000117322,0.000117322,0.000117322
25,1014.51,0.54356,0.4624,0.90223,0.86455,0.91465,0.93386,0.78123,0.63003,0.41854,0.8821,0.000115292,0.000115292,0.000115292
26,1053.05,0.54786,0.46657,0.90886,0.84769,0.92638,0.92492,0.78188,0.62089,0.4141,0.88502,0.000113263,0.000113263,0.000113263
27,1091.56,0.53252,0.44886,0.90477,0.87971,0.88928,0.91633,0.76825,0.6354,0.42751,0.87869,0.000111233,0.000111233,0.000111233
28,1130.21,0.54555,0.45147,0.90278,0.86586,0.91464,0.92421,0.77352,0.62963,0.40747,0.88532,0.000109203,0.000109203,0.000109203
29,1168.77,0.52958,0.44581,0.90002,0.91031,0.88438,0.93275,0.78676,0.63044,0.40945,0.87657,0.000107174,0.000107174,0.000107174
30,1207.33,0.52649,0.43645,0.89928,0.896,0.90181,0.92703,0.78481,0.62088,0.39885,0.88632,0.000105144,0.000105144,0.000105144
31,1245.81,0.54406,0.43718,0.90696,0.89869,0.89362,0.92152,0.77503,0.62946,0.40863,0.87967,0.000103115,0.000103115,0.000103115
32,1284.28,0.53113,0.42995,0.90054,0.885,0.89282,0.92318,0.77962,0.62703,0.40931,0.87818,0.000101086,0.000101086,0.000101086
33,1322.89,0.5289,0.43515,0.90016,0.89046,0.91819,0.93632,0.7871,0.62764,0.40339,0.88864,9.9056e-05,9.9056e-05,9.9056e-05
34,1361.6,0.52108,0.43187,0.89697,0.89354,0.91245,0.93632,0.79374,0.61818,0.39372,0.87673,9.70265e-05,9.70265e-05,9.70265e-05
35,1400.19,0.49932,0.41006,0.88988,0.89423,0.90474,0.9392,0.79278,0.62651,0.39073,0.87942,9.4997e-05,9.4997e-05,9.4997e-05
36,1438.51,0.5188,0.41586,0.89027,0.90561,0.89867,0.92659,0.7841,0.6246,0.40204,0.88059,9.29675e-05,9.29675e-05,9.29675e-05
37,1476.87,0.5024,0.40699,0.89984,0.8804,0.9225,0.92784,0.78024,0.62505,0.39712,0.88268,9.0938e-05,9.0938e-05,9.0938e-05
38,1515.29,0.51215,0.4019,0.89635,0.88263,0.9114,0.92645,0.77868,0.62615,0.40115,0.8848,8.89085e-05,8.89085e-05,8.89085e-05
39,1553.85,0.50147,0.39928,0.88954,0.89302,0.91257,0.93746,0.79277,0.61264,0.39332,0.87769,8.6879e-05,8.6879e-05,8.6879e-05
40,1592.42,0.50815,0.40191,0.8915,0.89158,0.9113,0.92299,0.77995,0.62873,0.40255,0.88499,8.48495e-05,8.48495e-05,8.48495e-05
41,1630.94,0.49176,0.39423,0.88112,0.88197,0.89756,0.92763,0.77893,0.61958,0.40402,0.88252,8.282e-05,8.282e-05,8.282e-05
42,1669.45,0.50179,0.39705,0.88905,0.90919,0.91365,0.93014,0.78482,0.61418,0.38305,0.88641,8.07905e-05,8.07905e-05,8.07905e-05
43,1707.95,0.49107,0.38023,0.88501,0.89302,0.9159,0.9311,0.78662,0.62264,0.38565,0.88729,7.8761e-05,7.8761e-05,7.8761e-05
44,1746.51,0.48285,0.38632,0.89044,0.89425,0.91092,0.9399,0.79198,0.6166,0.39059,0.88002,7.67315e-05,7.67315e-05,7.67315e-05
45,1784.92,0.49896,0.38964,0.89031,0.90302,0.90762,0.93615,0.789,0.6152,0.38806,0.87362,7.4702e-05,7.4702e-05,7.4702e-05
46,1823.32,0.50843,0.39778,0.89134,0.9109,0.90225,0.9495,0.80518,0.61858,0.37498,0.87654,7.26725e-05,7.26725e-05,7.26725e-05
